group,method,dataset,repetition,scenes,psnr,ssim,lpips,wall_time_sum_s
baselines,3dgs,all13,single,13,27.28031481229342,0.8332453553493206,0.21334749173659545,18825.0
baselines,3dgs,db,single,2,29.69279670715332,0.9025528728961945,0.24100220203399658,3189.0
baselines,3dgs,mipnerf360,single,9,27.510985480414497,0.8141913016637167,0.21660703668991724,13766.0
baselines,3dgs,tnt,single,2,23.829814910888672,0.8496810793876648,0.17102482914924622,1870.0
baselines,dash,all13,single,13,27.40682161771334,0.83307762329395,0.2205199318436476,4512.0
baselines,dash,db,single,2,29.90986919403076,0.9017079174518585,0.25115616619586945,499.0
baselines,dash,mipnerf360,single,9,27.617951922946506,0.8147007160716586,0.22220001204146278,3449.0
baselines,dash,tnt,single,2,23.95368766784668,0.8471434116363525,0.18232333660125732,564.0
baselines,legs,all13,single,13,28.02658433180589,0.8536266042635992,0.18352093146397516,8303.0
baselines,legs,db,single,2,30.200546264648438,0.9116770327091217,0.22628125548362732,811.0
baselines,legs,mipnerf360,single,9,28.283358679877388,0.8370139996210734,0.18281107561455834,6290.0
baselines,legs,tnt,single,2,24.6971378326416,0.8703328967094421,0.14395495876669884,1202.0
baselines,mini,all13,single,13,27.069606194129356,0.8349386820426354,0.2219375612644049,15128.0
baselines,mini,db,single,2,29.895599365234375,0.9041796624660492,0.25615347921848297,2119.0
baselines,mini,mipnerf360,single,9,27.264721340603298,0.8199264936976962,0.21852556698852116,11495.0
baselines,mini,tnt,single,2,23.3655948638916,0.8332525491714478,0.2030756175518036,1514.0
baselines,shorter,all13,single,13,26.996910992307694,0.8283138384615385,0.2197601923076923,2445.0
baselines,shorter,db,single,2,29.526921299999998,0.8973148,0.24833795,267.0
baselines,shorter,mipnerf360,single,9,27.234686755555554,0.8096945555555556,0.22402197777777777,1794.0
baselines,shorter,tnt,single,2,23.39690975,0.84309965,0.1720044,384.0
baselines,speedy,all13,single,13,26.73188356252817,0.8064204454421997,0.2800188786708392,11712.0
baselines,speedy,db,single,2,29.531338691711426,0.899248480796814,0.2715148329734802,1779.0
baselines,speedy,mipnerf360,single,9,26.846009572347004,0.7835485206709968,0.29061498906877303,8853.0
baselines,speedy,tnt,single,2,23.418861389160156,0.8165160715579987,0.24084042757749557,1080.0
baselines,taming,all13,single,13,27.172826473529522,0.8166752044971173,0.2543812692165375,4588.0
baselines,taming,db,single,2,29.667490005493164,0.8966090381145477,0.2740791290998459,486.0
baselines,taming,mipnerf360,single,9,27.336485968695747,0.7945354912016127,0.2602410581376817,3647.0
baselines,taming,tnt,single,2,23.94169521331787,0.8363700807094574,0.20831435918807983,455.0
mechanism,factorgrad_full,all13,single,4,27.039597988128662,0.8338976353406906,0.24279306828975677,792.0
mechanism,factorgrad_full,db,single,1,29.523008346557617,0.8973713517189026,0.27934107184410095,139.0
mechanism,factorgrad_full,mipnerf360,single,2,28.188401222229004,0.8190532028675079,0.2214675024151802,521.0
mechanism,factorgrad_full,tnt,single,1,22.258581161499023,0.800112783908844,0.24889619648456573,132.0
mechanism,skipgs,all13,single,4,27.065000534057617,0.8345098793506622,0.24101785197854042,820.0
mechanism,skipgs,db,single,1,29.423561096191406,0.8973308205604553,0.2774827480316162,145.0
mechanism,skipgs,mipnerf360,single,2,28.24791431427002,0.8201900124549866,0.22033854573965073,538.0
mechanism,skipgs,tnt,single,1,22.340612411499023,0.8003286719322205,0.24591156840324402,137.0
