group,id,method,repetition,dataset,scene,psnr,ssim,lpips,wall_time_s
primary,primary/R1/fastgs_base/bicycle,fastgs_base,R1,mipnerf360,bicycle,24.816343307495117,0.7144729495048523,0.3098362386226654,267.0
primary,primary/R1/fastgs_base/flowers,fastgs_base,R1,mipnerf360,flowers,21.176118850708008,0.5596380233764648,0.40684422850608826,260.0
primary,primary/R1/fastgs_base/garden,fastgs_base,R1,mipnerf360,garden,27.171194076538086,0.8353835940361023,0.17393209040164948,328.0
primary,primary/R1/fastgs_base/stump,fastgs_base,R1,mipnerf360,stump,26.65564727783203,0.7548389434814453,0.29832854866981506,217.0
primary,primary/R1/fastgs_base/treehill,fastgs_base,R1,mipnerf360,treehill,22.922605514526367,0.612570583820343,0.4266967475414276,230.0
primary,primary/R1/fastgs_base/room,fastgs_base,R1,mipnerf360,room,31.891918182373047,0.9199602007865906,0.2172662764787674,213.0
primary,primary/R1/fastgs_base/counter,fastgs_base,R1,mipnerf360,counter,29.15576171875,0.9070416688919067,0.2031906098127365,243.0
primary,primary/R1/fastgs_base/kitchen,fastgs_base,R1,mipnerf360,kitchen,31.779306411743164,0.9285762310028076,0.12662453949451447,319.0
primary,primary/R1/fastgs_base/bonsai,fastgs_base,R1,mipnerf360,bonsai,32.20329666137695,0.9409722089767456,0.1903872936964035,244.0
primary,primary/R1/fastgs_base/truck,fastgs_base,R1,tnt,truck,25.70443344116211,0.8724315166473389,0.1784796267747879,140.0
primary,primary/R1/fastgs_base/train,fastgs_base,R1,tnt,train,22.332260131835938,0.8033003807067871,0.24289803206920624,145.0
primary,primary/R1/fastgs_base/drjohnson,fastgs_base,R1,db,drjohnson,29.4884033203125,0.8979911804199219,0.2752212882041931,159.0
primary,primary/R1/fastgs_base/playroom,fastgs_base,R1,db,playroom,30.348594665527344,0.9044257998466492,0.26470518112182617,138.0
primary,primary/R1/skipgs_base/bicycle,skipgs_base,R1,mipnerf360,bicycle,24.803678512573242,0.71285080909729,0.3118745982646942,239.0
primary,primary/R1/skipgs_base/flowers,skipgs_base,R1,mipnerf360,flowers,21.19464111328125,0.5581705570220947,0.40848448872566223,235.0
primary,primary/R1/skipgs_base/garden,skipgs_base,R1,mipnerf360,garden,27.146657943725586,0.8341342806816101,0.17636756598949432,297.0
primary,primary/R1/skipgs_base/stump,skipgs_base,R1,mipnerf360,stump,26.601110458374023,0.7553930282592773,0.29819411039352417,202.0
primary,primary/R1/skipgs_base/treehill,skipgs_base,R1,mipnerf360,treehill,22.838912963867188,0.6101782917976379,0.4305163025856018,211.0
primary,primary/R1/skipgs_base/room,skipgs_base,R1,mipnerf360,room,31.72152328491211,0.9190576076507568,0.2185230255126953,201.0
primary,primary/R1/skipgs_base/counter,skipgs_base,R1,mipnerf360,counter,29.04987335205078,0.9058548212051392,0.2054423987865448,216.0
primary,primary/R1/skipgs_base/kitchen,skipgs_base,R1,mipnerf360,kitchen,31.701234817504883,0.9276807308197021,0.12823551893234253,282.0
primary,primary/R1/skipgs_base/bonsai,skipgs_base,R1,mipnerf360,bonsai,32.04902648925781,0.9413659572601318,0.19197936356067657,221.0
primary,primary/R1/skipgs_base/truck,skipgs_base,R1,tnt,truck,25.586261749267578,0.8711254596710205,0.1809782087802887,121.0
primary,primary/R1/skipgs_base/train,skipgs_base,R1,tnt,train,22.297122955322266,0.8022491335868835,0.24513530731201172,129.0
primary,primary/R1/skipgs_base/drjohnson,skipgs_base,R1,db,drjohnson,29.395082473754883,0.8975812792778015,0.277330607175827,138.0
primary,primary/R1/skipgs_base/playroom,skipgs_base,R1,db,playroom,30.6140079498291,0.9041120409965515,0.2673068344593048,122.0
primary,primary/R1/full/bicycle,full,R1,mipnerf360,bicycle,24.744094848632812,0.7119355797767639,0.31302374601364136,229.0
primary,primary/R1/full/flowers,full,R1,mipnerf360,flowers,21.16771125793457,0.5584015250205994,0.4073064923286438,228.0
primary,primary/R1/full/garden,full,R1,mipnerf360,garden,27.138534545898438,0.8340632915496826,0.17639614641666412,291.0
primary,primary/R1/full/stump,full,R1,mipnerf360,stump,26.641841888427734,0.7548591494560242,0.29892000555992126,194.0
primary,primary/R1/full/treehill,full,R1,mipnerf360,treehill,22.85276985168457,0.6094557642936707,0.4313873052597046,204.0
primary,primary/R1/full/room,full,R1,mipnerf360,room,31.687713623046875,0.9170254468917847,0.2208058089017868,191.0
primary,primary/R1/full/counter,full,R1,mipnerf360,counter,29.020551681518555,0.90511155128479,0.20678168535232544,208.0
primary,primary/R1/full/kitchen,full,R1,mipnerf360,kitchen,31.57681655883789,0.9271938800811768,0.12896905839443207,273.0
primary,primary/R1/full/bonsai,full,R1,mipnerf360,bonsai,31.966510772705078,0.9403252601623535,0.19299165904521942,213.0
primary,primary/R1/full/truck,full,R1,tnt,truck,25.535003662109375,0.8704222440719604,0.18229588866233826,119.0
primary,primary/R1/full/train,full,R1,tnt,train,22.29887580871582,0.799921989440918,0.24833977222442627,126.0
primary,primary/R1/full/drjohnson,full,R1,db,drjohnson,29.45853614807129,0.8972563147544861,0.2795383632183075,130.0
primary,primary/R1/full/playroom,full,R1,db,playroom,30.648900985717773,0.9061083197593689,0.2661961615085602,120.0
primary,primary/R1/wo_channel/bicycle,wo_channel,R1,mipnerf360,bicycle,24.760908126831055,0.7123165130615234,0.31268632411956787,236.0
