run_id,method,dataset,scene,execution,psnr,ssim,lpips,process_wall_s,native_train_s,fps,peak_device_mib,peak_torch_allocated_mib,gaussians,evidence_group,curve_export,paper_usage
primary/R1/fastgs_base/bicycle,fastgs_base,mipnerf360,bicycle,R1,24.816343307495117,0.7144729495048523,0.3098362386226654,267.0,214.13713472141586,573.5835105943507,8489.0,5148.15283203125,537255,primary,logs/train/primary/R1/fastgs_base/bicycle/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/fastgs_base/flowers,fastgs_base,mipnerf360,flowers,R1,21.176118850708008,0.5596380233764648,0.40684422850608826,260.0,210.61919807875495,579.9110272596163,8237.0,4664.34033203125,486137,primary,logs/train/primary/R1/fastgs_base/flowers/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/fastgs_base/garden,fastgs_base,mipnerf360,garden,R1,27.171194076538086,0.8353835940361023,0.17393209040164948,328.0,271.2216202513288,485.19203451238303,9737.0,5089.2900390625,737626,primary,logs/train/primary/R1/fastgs_base/garden/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/fastgs_base/stump,fastgs_base,mipnerf360,stump,R1,26.65564727783203,0.7548389434814453,0.29832854866981506,217.0,181.0942843543595,613.4507688054958,6707.0,3495.22265625,382311,primary,logs/train/primary/R1/fastgs_base/stump/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/fastgs_base/treehill,fastgs_base,mipnerf360,treehill,R1,22.922605514526367,0.612570583820343,0.4266967475414276,230.0,189.3687480268344,612.4262013884419,7985.0,3863.50439453125,394584,primary,logs/train/primary/R1/fastgs_base/treehill/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/fastgs_base/room,fastgs_base,mipnerf360,room,R1,31.891918182373047,0.9199602007865906,0.2172662764787674,213.0,175.32776986666852,660.2627613832009,10997.0,6948.94287109375,207166,primary,logs/train/primary/R1/fastgs_base/room/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/fastgs_base/counter,fastgs_base,mipnerf360,counter,R1,29.15576171875,0.9070416688919067,0.2031906098127365,243.0,211.7284048909632,572.7415257998003,9637.0,5564.6416015625,207655,primary,logs/train/primary/R1/fastgs_base/counter/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/fastgs_base/kitchen,fastgs_base,mipnerf360,kitchen,R1,31.779306411743164,0.9285762310028076,0.12662453949451447,319.0,280.5983476853979,478.71159262765445,12273.0,6697.734375,377701,primary,logs/train/primary/R1/fastgs_base/kitchen/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/fastgs_base/bonsai,fastgs_base,mipnerf360,bonsai,R1,32.20329666137695,0.9409722089767456,0.1903872936964035,244.0,207.1587452441422,609.097303818773,9721.0,6701.2607421875,276965,primary,logs/train/primary/R1/fastgs_base/bonsai/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/fastgs_base/truck,fastgs_base,tnt,truck,R1,25.70443344116211,0.8724315166473389,0.1784796267747879,140.0,129.49041682465747,703.0112759707579,5019.0,2157.83544921875,253318,primary,logs/train/primary/R1/fastgs_base/truck/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/fastgs_base/train,fastgs_base,tnt,train,R1,22.332260131835938,0.8033003807067871,0.24289803206920624,145.0,134.31057055026594,620.6835016795856,5761.0,2490.0009765625,230106,primary,logs/train/primary/R1/fastgs_base/train/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/fastgs_base/drjohnson,fastgs_base,db,drjohnson,R1,29.4884033203125,0.8979911804199219,0.2752212882041931,159.0,146.29360620604868,722.3467934041748,7650.0,4468.8876953125,251102,primary,logs/train/primary/R1/fastgs_base/drjohnson/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/fastgs_base/playroom,fastgs_base,db,playroom,R1,30.348594665527344,0.9044257998466492,0.26470518112182617,138.0,127.33237645941549,766.8023877040102,6428.0,3271.60546875,186798,primary,logs/train/primary/R1/fastgs_base/playroom/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/skipgs_base/bicycle,skipgs_base,mipnerf360,bicycle,R1,24.803678512573242,0.71285080909729,0.3118745982646942,239.0,186.4528185998041,563.6182105832759,8080.0,5487.64306640625,537210,primary,logs/train/primary/R1/skipgs_base/bicycle/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/skipgs_base/flowers,skipgs_base,mipnerf360,flowers,R1,21.19464111328125,0.5581705570220947,0.40848448872566223,235.0,185.51959470321535,576.6069371582402,8192.0,4983.46630859375,486780,primary,logs/train/primary/R1/skipgs_base/flowers/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/skipgs_base/garden,skipgs_base,mipnerf360,garden,R1,27.146657943725586,0.8341342806816101,0.17636756598949432,297.0,241.41111411220427,477.05070428942975,8682.0,5386.7431640625,742074,primary,logs/train/primary/R1/skipgs_base/garden/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/skipgs_base/stump,skipgs_base,mipnerf360,stump,R1,26.601110458374023,0.7553930282592773,0.29819411039352417,202.0,165.34529662597285,597.7124406855438,6598.0,3833.03271484375,388386,primary,logs/train/primary/R1/skipgs_base/stump/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/skipgs_base/treehill,skipgs_base,mipnerf360,treehill,R1,22.838912963867188,0.6101782917976379,0.4305163025856018,211.0,170.51239026768812,609.7587408894417,6870.0,4173.27978515625,390934,primary,logs/train/primary/R1/skipgs_base/treehill/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/skipgs_base/room,skipgs_base,mipnerf360,room,R1,31.72152328491211,0.9190576076507568,0.2185230255126953,201.0,163.09633602010618,670.1772758892572,10336.0,7251.978515625,206656,primary,logs/train/primary/R1/skipgs_base/room/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/skipgs_base/counter,skipgs_base,mipnerf360,counter,R1,29.04987335205078,0.9058548212051392,0.2054423987865448,216.0,183.65394411752868,578.6808634257867,9865.0,5891.4716796875,207426,primary,logs/train/primary/R1/skipgs_base/counter/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/skipgs_base/kitchen,skipgs_base,mipnerf360,kitchen,R1,31.701234817504883,0.9276807308197021,0.12823551893234253,282.0,244.34106549217486,481.9331449147827,11111.0,7073.63232421875,377391,primary,logs/train/primary/R1/skipgs_base/kitchen/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/skipgs_base/bonsai,skipgs_base,mipnerf360,bonsai,R1,32.04902648925781,0.9413659572601318,0.19197936356067657,221.0,183.55790060767973,614.5454354991781,10973.0,6996.47607421875,276833,primary,logs/train/primary/R1/skipgs_base/bonsai/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/skipgs_base/truck,skipgs_base,tnt,truck,R1,25.586261749267578,0.8711254596710205,0.1809782087802887,121.0,110.9575736187124,709.54547494824,5067.0,2305.259765625,254849,primary,logs/train/primary/R1/skipgs_base/truck/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/skipgs_base/train,skipgs_base,tnt,train,R1,22.297122955322266,0.8022491335868835,0.24513530731201172,129.0,118.71602552810656,627.5403122471469,5425.0,2677.12890625,229048,primary,logs/train/primary/R1/skipgs_base/train/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/skipgs_base/drjohnson,skipgs_base,db,drjohnson,R1,29.395082473754883,0.8975812792778015,0.277330607175827,138.0,125.72783381512286,724.6931505444695,7677.0,4800.58203125,249272,primary,logs/train/primary/R1/skipgs_base/drjohnson/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/skipgs_base/playroom,skipgs_base,db,playroom,R1,30.6140079498291,0.9041120409965515,0.2673068344593048,122.0,111.69123793360794,778.3524333444933,6523.0,3461.19189453125,185089,primary,logs/train/primary/R1/skipgs_base/playroom/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/full/bicycle,full,mipnerf360,bicycle,R1,24.744094848632812,0.7119355797767639,0.31302374601364136,229.0,177.36236597949775,570.5498890462013,8209.0,5488.53076171875,533957,primary,logs/train/primary/R1/full/bicycle/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/full/flowers,full,mipnerf360,flowers,R1,21.16771125793457,0.5584015250205994,0.4073064923286438,228.0,178.68014281951176,573.6040420650603,7661.0,5003.572265625,493970,primary,logs/train/primary/R1/full/flowers/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/full/garden,full,mipnerf360,garden,R1,27.138534545898438,0.8340632915496826,0.17639614641666412,291.0,234.89232121278445,480.74294502979456,8963.0,5419.89794921875,754821,primary,logs/train/primary/R1/full/garden/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/full/stump,full,mipnerf360,stump,R1,26.641841888427734,0.7548591494560242,0.29892000555992126,194.0,157.5816783801796,602.2741740845397,6303.0,3860.8359375,392538,primary,logs/train/primary/R1/full/stump/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/full/treehill,full,mipnerf360,treehill,R1,22.85276985168457,0.6094557642936707,0.4313873052597046,204.0,162.9771252439166,606.3286706337649,7017.0,4185.36865234375,395893,primary,logs/train/primary/R1/full/treehill/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/full/room,full,mipnerf360,room,R1,31.687713623046875,0.9170254468917847,0.2208058089017868,191.0,153.18441178273417,674.7681189481001,10039.0,7269.28466796875,209453,primary,logs/train/primary/R1/full/room/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/full/counter,full,mipnerf360,counter,R1,29.020551681518555,0.90511155128479,0.20678168535232544,208.0,176.01789679567472,576.5323352763709,10105.0,5898.5126953125,208077,primary,logs/train/primary/R1/full/counter/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/full/kitchen,full,mipnerf360,kitchen,R1,31.57681655883789,0.9271938800811768,0.12896905839443207,273.0,235.64110581557395,471.2814574078821,11493.0,7091.53515625,379577,primary,logs/train/primary/R1/full/kitchen/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/full/bonsai,full,mipnerf360,bonsai,R1,31.966510772705078,0.9403252601623535,0.19299165904521942,213.0,175.0551076589706,613.6504549932338,10535.0,7005.91162109375,277985,primary,logs/train/primary/R1/full/bonsai/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/full/truck,full,tnt,truck,R1,25.535003662109375,0.8704222440719604,0.18229588866233826,119.0,109.39913038492891,717.6923261196661,5091.0,2317.49462890625,255157,primary,logs/train/primary/R1/full/truck/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/full/train,full,tnt,train,R1,22.29887580871582,0.799921989440918,0.24833977222442627,126.0,115.53567625713158,629.8587326872404,5667.0,2672.95068359375,223690,primary,logs/train/primary/R1/full/train/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/full/drjohnson,full,db,drjohnson,R1,29.45853614807129,0.8972563147544861,0.2795383632183075,130.0,118.82907237139122,736.2986310632114,7443.0,4781.57958984375,242613,primary,logs/train/primary/R1/full/drjohnson/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/full/playroom,full,db,playroom,R1,30.648900985717773,0.9061083197593689,0.2661961615085602,120.0,109.50470537786899,759.2231694925986,6551.0,3519.61669921875,200570,primary,logs/train/primary/R1/full/playroom/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_channel/bicycle,wo_channel,mipnerf360,bicycle,R1,24.760908126831055,0.7123165130615234,0.31268632411956787,236.0,183.1701585701416,567.3159004962629,8129.0,5494.18896484375,537199,primary,logs/train/primary/R1/wo_channel/bicycle/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_channel/flowers,wo_channel,mipnerf360,flowers,R1,21.186803817749023,0.5571942329406738,0.40943583846092224,232.0,182.62139151144697,581.2880101593591,7749.0,4979.82275390625,486251,primary,logs/train/primary/R1/wo_channel/flowers/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_channel/garden,wo_channel,mipnerf360,garden,R1,27.17032814025879,0.8343677520751953,0.1766921430826187,295.0,238.88823492525623,483.98173244337545,8995.0,5385.31103515625,739323,primary,logs/train/primary/R1/wo_channel/garden/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_channel/stump,wo_channel,mipnerf360,stump,R1,26.62010955810547,0.7540315389633179,0.2993781566619873,199.0,162.86936772327044,613.123517551691,6257.0,3834.51123046875,387996,primary,logs/train/primary/R1/wo_channel/stump/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_channel/treehill,wo_channel,mipnerf360,treehill,R1,22.78829002380371,0.6105771660804749,0.43054714798927307,209.0,167.64942554537515,606.2526381572095,7211.0,4169.2919921875,390038,primary,logs/train/primary/R1/wo_channel/treehill/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_channel/room,wo_channel,mipnerf360,room,R1,31.825210571289062,0.9189753532409668,0.21887755393981934,200.0,161.1976319017562,649.4615018251757,9901.0,7244.82470703125,206563,primary,logs/train/primary/R1/wo_channel/room/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_channel/counter,wo_channel,mipnerf360,counter,R1,29.036962509155273,0.9055660367012024,0.20594815909862518,221.0,188.4944503425379,558.7417019860479,10301.0,5888.10400390625,206777,primary,logs/train/primary/R1/wo_channel/counter/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
primary/R1/wo_channel/kitchen,wo_channel,mipnerf360,kitchen,R1,31.681867599487305,0.9282457828521729,0.1278502196073532,289.0,250.647822922274,465.78176470564347,12210.0,7079.6083984375,378114,primary,logs/train/primary/R1/wo_channel/kitchen/curves.csv.xz,"Main comparison, repeated-execution statistics, and dataset-level ablations"
