method,scene,phase,samples,loss_mean,loss_std
skipgs,bicycle,warmup,2999,0.17380020181142555,0.04215294161886908
skipgs,bicycle,active_densification,12000,0.12138733629789203,0.04313052010740466
skipgs,bicycle,post_densification_stabilization,768,0.08700123719851642,0.019631960848391965
skipgs,bicycle,late_refinement,14233,0.0836811513143146,0.01885163864730035
skipgs,kitchen,warmup,2999,0.07169490367318242,0.026738644084488096
skipgs,kitchen,active_densification,12000,0.03834717529794822,0.032110090467247464
skipgs,kitchen,post_densification_stabilization,768,0.02595222957461374,0.007658338071255792
skipgs,kitchen,late_refinement,14233,0.024374707985473334,0.007556463650301268
skipgs,train,warmup,2999,0.1607444388527956,0.05084000361185637
skipgs,train,active_densification,12000,0.10345363640692085,0.04466801063691411
skipgs,train,post_densification_stabilization,768,0.07044500920164865,0.02149635312921141
skipgs,train,late_refinement,14233,0.06646689880009315,0.020728654318331655
skipgs,drjohnson,warmup,2999,0.08143005111553185,0.03222769544551973
skipgs,drjohnson,active_densification,12000,0.04795583140167097,0.034300622102245694
skipgs,drjohnson,post_densification_stabilization,768,0.029503448856606457,0.00943572469173747
skipgs,drjohnson,late_refinement,14233,0.026923829736799864,0.008839504564294973
factorgrad_full,bicycle,warmup,2999,0.17385334481285508,0.04220758534911048
factorgrad_full,bicycle,active_densification,12000,0.12209632445685566,0.04315639016826093
factorgrad_full,bicycle,post_densification_stabilization,768,0.08783322646922898,0.020016478497560396
factorgrad_full,bicycle,late_refinement,14233,0.08487508428939143,0.01936266250596336
factorgrad_full,kitchen,warmup,2999,0.07159158310822822,0.02671166553400469
factorgrad_full,kitchen,active_densification,12000,0.039281184350295616,0.032264015087309784
factorgrad_full,kitchen,post_densification_stabilization,768,0.026200243288864538,0.007695625783479379
factorgrad_full,kitchen,late_refinement,14233,0.024877035333661455,0.007602269385945252
factorgrad_full,train,warmup,2999,0.16078419583157405,0.05059641718883165
factorgrad_full,train,active_densification,12000,0.1048491877488171,0.04448555224487634
factorgrad_full,train,post_densification_stabilization,768,0.0717064062434171,0.021616948703387255
factorgrad_full,train,late_refinement,14233,0.06744553584484796,0.02060314423929081
factorgrad_full,drjohnson,warmup,2999,0.08151798816438156,0.03215548504981716
factorgrad_full,drjohnson,active_densification,12000,0.04858488643697152,0.034378714892013655
factorgrad_full,drjohnson,post_densification_stabilization,768,0.029872923324243555,0.009736915866134016
factorgrad_full,drjohnson,late_refinement,14233,0.02762141454779567,0.009276865390370806
