method,phase,optimizer,group,samples,gradient_norm_mean,gradient_norm_std,gradient_rms_mean,first_moment_rms_mean,second_moment_root_mean,first_to_second_moment_ratio_mean
factorgrad_full,active_densification,main,f_dc,16,0.0015647120526409708,0.0007667767564910465,1.8533573573620288e-06,4.99348633553609e-07,2.0163266079009645e-06,0.24343981784142849
factorgrad_full,active_densification,main,opacity,16,0.0011145478201797232,0.0017894605645131635,2.1584236318261674e-06,6.643567174169362e-07,1.703705528655064e-06,0.3321818215020789
factorgrad_full,active_densification,main,rotation,16,0.008007683776668273,0.004675779399879133,8.048484126277344e-06,2.4416549013750455e-06,1.0769725406589714e-05,0.2683357105667753
factorgrad_full,active_densification,main,scaling,16,0.0018780524387693731,0.0022306950947734053,2.1445350064652757e-06,8.720146928986594e-07,3.296561283505639e-06,0.2314103063226593
factorgrad_full,active_densification,main,xyz,16,0.093483648262918,0.0853128491189095,0.00010338580466395797,2.709370056663829e-05,0.00011289535791547678,0.24706243565515615
factorgrad_full,active_densification,sh,f_rest,16,0.018612912244861946,0.00973608096895327,5.66049406103275e-06,1.4336541127590863e-06,3.142121837385048e-06,0.47390427306743266
factorgrad_full,late_refinement,main,f_dc,20,0.008349944779183716,0.0045159853872731555,8.632602066427352e-06,1.5958953127892528e-06,3.889935584311388e-06,0.4187317269842293
factorgrad_full,late_refinement,main,opacity,20,0.004473050683736801,0.006570625790696684,8.912038111930087e-06,1.8070300441763721e-06,3.6007866512477447e-06,0.4863101723931121
factorgrad_full,late_refinement,main,rotation,20,0.049189319787546995,0.03839705519675285,4.6626998573628954e-05,8.847811346868185e-06,1.8047973105694838e-05,0.4870605656334488
factorgrad_full,late_refinement,main,scaling,20,0.011714062944520265,0.0174511253171458,1.3468304990738033e-05,2.723852979613639e-06,5.385466515406279e-06,0.45092298172531525
factorgrad_full,late_refinement,main,xyz,20,0.6318297736346722,0.4682796207082512,0.0006661112172878347,0.00011356131781212753,0.00026285443782398944,0.43752075696723386
factorgrad_full,late_refinement,sh,f_rest,20,0.03169941152445972,0.017348551303930808,8.455887530089967e-06,1.6087221794691686e-06,5.065761303058025e-06,0.3180046361542811
factorgrad_full,post_densification_stabilization,main,f_dc,20,0.0050035543652484195,0.003194048424983526,4.553715822908089e-06,9.040357930700794e-07,1.616255283920509e-06,0.549919845155633
factorgrad_full,post_densification_stabilization,main,opacity,20,0.003056893267785199,0.0047078399613078815,5.249958027775392e-06,9.203197741669555e-07,1.2458263064729636e-06,0.6431277332115382
factorgrad_full,post_densification_stabilization,main,rotation,20,0.024615190556505694,0.020349241983954196,2.0225813801744153e-05,4.013686087489532e-06,6.399969822723506e-06,0.5758487227236416
factorgrad_full,post_densification_stabilization,main,scaling,20,0.007111384415475186,0.010011877949878416,7.0354632157432205e-06,1.2774921611224955e-06,1.9905099705397334e-06,0.5336937931058857
factorgrad_full,post_densification_stabilization,main,xyz,20,0.3603510305285454,0.2799714777602806,0.0003319622854178306,6.41706860051272e-05,0.00011657091363304062,0.5288835417108859
factorgrad_full,post_densification_stabilization,sh,f_rest,20,0.021844179648905993,0.011824755810410459,5.1409320349193875e-06,1.1139693185668875e-06,3.624591403195154e-06,0.32971544137007985
factorgrad_full,warmup,main,f_dc,4,0.0014813413290539756,0.0006818605654431376,2.2270502881838183e-06,1.0421504654800628e-06,2.9500008622562746e-06,0.3409876594911983
factorgrad_full,warmup,main,opacity,4,0.001875120186014101,0.0027694462864659482,4.33831354484937e-06,1.3824002849105455e-06,3.0967188422437175e-06,0.3794409081373292
factorgrad_full,warmup,main,rotation,4,0.01102264178916812,0.0036225299209709607,1.3862151718058158e-05,4.169781789187255e-06,1.2407954727677861e-05,0.3449598492964079
factorgrad_full,warmup,main,scaling,4,0.00213873376196716,0.0021335082249254976,2.945032889556387e-06,1.855200686406988e-06,5.047473052854912e-06,0.36115255540880375
factorgrad_full,warmup,main,xyz,4,0.14047661889344454,0.12395947869570123,0.0001914910062623676,3.079270436501247e-05,0.00010930652388196904,0.27225208969585596
factorgrad_full,warmup,sh,f_rest,4,0.013560892315581441,0.007049421295573004,5.367288338220533e-06,2.3230632848481036e-06,2.332553762585121e-06,0.9572750708680536
skipgs,active_densification,main,f_dc,16,0.0015413263099617325,0.0009503630342628859,1.8426983370289918e-06,5.025823561766174e-07,1.944386429642009e-06,0.25163162583109266
skipgs,active_densification,main,opacity,16,0.001418815159922815,0.002457599672093743,2.726980410372448e-06,5.86164518256993e-07,1.696229421810358e-06,0.3038480404493431
skipgs,active_densification,main,rotation,16,0.008917140366975218,0.0067948933661147355,8.808842977714448e-06,2.192033001335858e-06,9.221399942305197e-06,0.25784848862590015
skipgs,active_densification,main,scaling,16,0.003269627210102044,0.006773440001831797,3.663029923828276e-06,7.258110445995669e-07,3.3075405401206126e-06,0.21935591541264332
