run,scene,psnr_delta,ssim_delta,lpips_delta,cuda_speedup_percent,wall_speedup_percent,wall_saved_s
R1,Bicycle,-0.04813957214355469,-0.001326441764831543,0.0009308159351348877,7.742027327623635,7.535924232527758,18.460000000000008
R1,Kitchen,-0.033443450927734375,-0.00045502185821533203,0.0004511028528213501,1.4467619957137967,1.2907255126470174,3.7199999999999704
R1,Train,0.1343250274658203,-0.0007094740867614746,0.00406232476234436,0.45264455732909603,0.3380195129446095,0.4399999999999977
R1,Dr Johnson,-0.1780872344970703,-0.0014647841453552246,0.0022812187671661377,3.9204032279545387,3.6852733304485685,5.109999999999985
R2,Bicycle,-0.05958366394042969,-0.000915229320526123,0.0011491477489471436,4.8754707429860655,3.7949708240627933,9.039999999999992
R2,Kitchen,-0.12441825866699219,-0.0004868507385253906,0.0007335394620895386,3.560580232011612,2.926136363636367,8.240000000000009
R2,Train,0.0017528533935546875,-0.002327144145965576,0.0032044649124145508,2.678955311068776,2.2487593052109234,2.9000000000000057
R2,Dr Johnson,0.06345367431640625,-0.0003249645233154297,0.0022077560424804688,5.487059813562023,4.991268917345737,6.859999999999985
R3,Bicycle,-0.008596420288085938,-6.80088996887207e-05,-0.0004843771457672119,4.970593546367241,6.492612831410649,16.04000000000002
R3,Kitchen,-0.09337043762207031,-0.0007052421569824219,0.0010761171579360962,5.9207794657866515,5.427030787963116,15.599999999999966
R3,Train,-0.16748619079589844,-0.0026854276657104492,0.003088235855102539,3.9510509667634364,3.898356205700504,5.170000000000002
R3,Dr Johnson,-0.006671905517578125,-0.00045865774154663086,0.0015429258346557617,5.355858989970786,4.9642283545042964,6.799999999999983
