run,protocol,dataset,scene,method,psnr,ssim,lpips,cuda_time_s,wall_time_s,path
R1,protocol-equivalent historical run,Mip-NeRF 360,Bicycle,skipgs,24.78424644470215,0.713039219379425,0.31235983967781067,193.5360886496697,244.96,<LOCAL_PATH>
R1,protocol-equivalent historical run,Mip-NeRF 360,Bicycle,full,24.736106872558594,0.7117127776145935,0.31329065561294556,178.55247177759836,226.5,<LOCAL_PATH>
R1,protocol-equivalent historical run,Mip-NeRF 360,Kitchen,skipgs,31.69773292541504,0.9275227189064026,0.12846043705940247,253.74788781894986,288.21,<LOCAL_PATH>
R1,protocol-equivalent historical run,Mip-NeRF 360,Kitchen,full,31.664289474487305,0.9270676970481873,0.12891153991222382,250.07675981305883,284.49,<LOCAL_PATH>
R1,protocol-equivalent historical run,Tanks & Temples,Train,skipgs,22.208728790283203,0.8017134666442871,0.24426059424877167,122.83641236144511,130.17,<LOCAL_PATH>
R1,protocol-equivalent historical run,Tanks & Temples,Train,full,22.343053817749023,0.8010039925575256,0.24832291901111603,122.2804000264727,129.73,<LOCAL_PATH>
R1,protocol-equivalent historical run,Deep Blending,Dr Johnson,skipgs,29.491750717163086,0.8977147340774536,0.27674901485443115,130.01248284250525,138.66,<LOCAL_PATH>
R1,protocol-equivalent historical run,Deep Blending,Dr Johnson,full,29.313663482666016,0.8962499499320984,0.2790302336215973,124.91546926840384,133.55,<LOCAL_PATH>
R2,frozen FastGS-Base run,Mip-NeRF 360,Bicycle,skipgs,24.803678512573242,0.71285080909729,0.3118745982646942,186.4528185998041,238.21,<LOCAL_PATH>
R2,frozen FastGS-Base run,Mip-NeRF 360,Bicycle,full,24.744094848632812,0.7119355797767639,0.31302374601364136,177.36236597949775,229.17000000000002,<LOCAL_PATH>
R2,frozen FastGS-Base run,Mip-NeRF 360,Kitchen,skipgs,31.701234817504883,0.9276807308197021,0.12823551893234253,244.34106549217486,281.6,<LOCAL_PATH>
R2,frozen FastGS-Base run,Mip-NeRF 360,Kitchen,full,31.57681655883789,0.9271938800811768,0.12896905839443207,235.64110581557395,273.36,<LOCAL_PATH>
R2,frozen FastGS-Base run,Tanks & Temples,Train,skipgs,22.297122955322266,0.8022491335868835,0.24513530731201172,118.71602552810656,128.96,<LOCAL_PATH>
R2,frozen FastGS-Base run,Tanks & Temples,Train,full,22.29887580871582,0.799921989440918,0.24833977222442627,115.53567625713158,126.06,<LOCAL_PATH>
R2,frozen FastGS-Base run,Deep Blending,Dr Johnson,skipgs,29.395082473754883,0.8975812792778015,0.277330607175827,125.72783381512286,137.44,<LOCAL_PATH>
R2,frozen FastGS-Base run,Deep Blending,Dr Johnson,full,29.45853614807129,0.8972563147544861,0.2795383632183075,118.82907237139122,130.58,<LOCAL_PATH>
R3,frozen FastGS-Base repeat,Mip-NeRF 360,Bicycle,skipgs,24.777788162231445,0.712475061416626,0.3126157224178314,188.46969186427947,247.05,<LOCAL_PATH>
R3,frozen FastGS-Base repeat,Mip-NeRF 360,Bicycle,full,24.76919174194336,0.7124070525169373,0.3121313452720642,179.10162952361537,231.01,<LOCAL_PATH>
R3,frozen FastGS-Base repeat,Mip-NeRF 360,Kitchen,skipgs,31.713584899902344,0.9279891848564148,0.12792372703552246,249.57592055370677,287.45,<LOCAL_PATH>
R3,frozen FastGS-Base repeat,Mip-NeRF 360,Kitchen,full,31.620214462280273,0.9272839426994324,0.12899984419345856,234.79908069801488,271.85,<LOCAL_PATH>
R3,frozen FastGS-Base repeat,Tanks & Temples,Train,skipgs,22.423669815063477,0.8025415539741516,0.24514226615428925,121.76437812601203,132.62,<LOCAL_PATH>
R3,frozen FastGS-Base repeat,Tanks & Temples,Train,full,22.256183624267578,0.7998561263084412,0.24823050200939178,116.95340548689074,127.45,<LOCAL_PATH>
R3,frozen FastGS-Base repeat,Deep Blending,Dr Johnson,skipgs,29.525381088256836,0.8975547552108765,0.2777949869632721,125.29021077066146,136.98,<LOCAL_PATH>
R3,frozen FastGS-Base repeat,Deep Blending,Dr Johnson,full,29.518709182739258,0.8970960974693298,0.27933791279792786,118.57984375354765,130.18,<LOCAL_PATH>
