method,dataset,repeats,scenes,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,cuda_time_s_mean,cuda_time_s_std,wall_time_s_mean,wall_time_s_std,fps_mean,fps_std,peak_device_mb_mean,peak_device_mb_std,gaussians_m_mean,gaussians_m_std
budget_matched_fullrgb,All13,3,13,26.883528342613808,0.018647899604901503,0.7884746468984164,0.0001514199422913568,0.29708464711140364,0.0001528801234423309,1776.4558939620792,25.78023312667641,2194.6666666666665,27.682726262659415,706.791271051813,8.513335305734193,7856.820512820513,239.9424528311144,0.20809802564102564,0.00019397191179163992
budget_matched_fullrgb,Deep Blending,3,2,29.610766728719074,0.11359188710702874,0.8927110334237417,0.000546139466627279,0.2931515822807948,0.0010192787440690915,197.8076380482853,2.075280293119329,220.0,2.0,819.0756439340455,8.944246414085,6722.0,273.80832711953815,0.14599433333333334,0.00020337178598155834
budget_matched_fullrgb,Mip-NeRF 360,3,9,26.98645083109538,0.011915799300827664,0.7594371018586336,0.0001619919231677697,0.31014072122397246,0.00013277839066961787,1379.451827107637,21.124530983212928,1755.3333333333333,22.5905584998099,676.4138903503693,8.815078222260723,8721.25925925926,206.31003677892238,0.22933744444444445,0.00026285472211522545
budget_matched_fullrgb,Tanks & Temples,3,2,23.693138758341473,0.044474228651896874,0.8149072130521139,0.000315414588368208,0.2422653784354528,9.531433768317647e-05,199.19642880615692,2.679720748662287,219.33333333333334,3.2145502536643185,731.2051113260776,6.861326441836382,5101.666666666667,379.2325583772223,0.17462433333333333,0.00023125112612340035
fastgs_base,All13,3,13,27.383694526476738,0.025353714836335563,0.8196614919564663,0.00027270629852411634,0.2547505700435394,0.0001901812157661411,2493.443813359047,34.49949084080044,2918.3333333333335,37.43438704364389,611.0180880639269,5.22610371509131,8182.615384615385,171.31788163541853,0.3487138717948718,0.0004088321535581942
fastgs_base,Deep Blending,3,2,29.988495508829754,0.06206923297360235,0.9014185468355814,0.00028612520816148764,0.2698841293652852,0.0006161241373038,272.0620652980042,1.4902625601154489,295.0,2.0,739.4891047062617,13.655835123617775,7037.833333333333,81.75624339054073,0.21824933333333332,0.0008954454664206587
fastgs_base,Mip-NeRF 360,3,9,27.535266734935618,0.009486782543042274,0.797213457248829,0.00014727805260063444,0.2613364165579831,0.0001040003898714158,1959.6807113494096,35.25570090924014,2340.3333333333335,37.89898855290644,571.1281258569521,8.40397786908676,9067.703703703704,213.23847235087499,0.40143900000000005,0.0006036789781348869
fastgs_base,Tanks & Temples,3,2,24.096818606058758,0.08295822919938017,0.8389205932617188,0.0010036290322729437,0.20998070140679678,0.0006403768567240732,261.7010367116331,1.8186808972611443,283.0,1.7320508075688772,662.0519013529793,4.805405235146996,5344.5,260.2503602302982,0.24191533333333332,0.00022747380801607382
full,All13,3,13,27.275272907354893,0.018902339059210217,0.8176392775315504,0.000304574395122326,0.2578098877118184,0.00013355845048360838,2100.116898493258,15.020504266072978,2520.0,16.822603841260722,616.4073455529565,4.23992475212645,8048.897435897436,46.898249001096524,0.3517746666666667,0.0004201450322522543
full,Deep Blending,3,2,29.934091250101726,0.14348849359176358,0.8997438549995422,0.0020181252776313697,0.27297566334406537,0.0001484693722183581,227.3256524528238,1.0563512222999,249.33333333333334,1.1547005383792515,749.1106753571205,5.143349751955304,6957.166666666667,41.04976654420014,0.2219625,0.001305649646727625
