run,dataset,scene,psnr_delta,ssim_delta,lpips_delta,cuda_speedup_percent,wall_speedup_percent
R1,Mip-NeRF 360,bicycle,-0.05958366394042969,-0.000915229320526123,0.0011491477489471436,4.8754707429860655,4.184100418410042
R1,Mip-NeRF 360,flowers,-0.026929855346679688,0.00023096799850463867,-0.0011779963970184326,3.6866466286997857,2.9787234042553234
R1,Mip-NeRF 360,garden,-0.008123397827148438,-7.098913192749023e-05,2.8580427169799805e-05,2.700286986948741,2.020202020202022
R1,Mip-NeRF 360,stump,0.04073143005371094,-0.0005338788032531738,0.0007258951663970947,4.6953970897371855,3.960396039603964
R1,Mip-NeRF 360,treehill,0.013856887817382812,-0.0007225275039672852,0.0008710026741027832,4.419189134550217,3.3175355450236976
R1,Mip-NeRF 360,room,-0.033809661865234375,-0.002032160758972168,0.0022827833890914917,6.077343292463711,4.975124378109452
R1,Mip-NeRF 360,counter,-0.029321670532226562,-0.0007432699203491211,0.0013392865657806396,4.157845538545746,3.703703703703709
R1,Mip-NeRF 360,kitchen,-0.12441825866699219,-0.0004868507385253906,0.0007335394620895386,3.560580232011612,3.1914893617021267
R1,Mip-NeRF 360,bonsai,-0.08251571655273438,-0.0010406970977783203,0.0010122954845428467,4.632213007754016,3.6199095022624417
R1,Tanks & Temples,truck,-0.051258087158203125,-0.0007032155990600586,0.0013176798820495605,1.404539756014156,1.6528925619834656
R1,Tanks & Temples,train,0.0017528533935546875,-0.002327144145965576,0.0032044649124145508,2.678955311068776,2.3255813953488413
R1,Deep Blending,drjohnson,0.06345367431640625,-0.0003249645233154297,0.0022077560424804688,5.487059813562023,5.797101449275366
R1,Deep Blending,playroom,0.034893035888671875,0.001996278762817383,-0.001110672950744629,1.9576580904570817,1.6393442622950838
R2,Mip-NeRF 360,bicycle,-0.049560546875,-0.0017124414443969727,0.0018245577812194824,8.49002425424329,7.377049180327866
R2,Mip-NeRF 360,flowers,-0.014276504516601562,0.0003215670585632324,-0.001627802848815918,7.265421742470202,5.833333333333335
R2,Mip-NeRF 360,garden,0.028881072998046875,-0.0007352232933044434,0.00023923814296722412,4.431066084571733,3.678929765886285
R2,Mip-NeRF 360,stump,0.04290580749511719,0.0013507604598999023,-0.0007641315460205078,5.262231538571571,4.477611940298509
R2,Mip-NeRF 360,treehill,0.08516693115234375,-0.00029218196868896484,0.0011229515075683594,4.500632493570111,3.809523809523807
R2,Mip-NeRF 360,room,-0.08718681335449219,-0.002313852310180664,0.0015964657068252563,6.00620647682214,5.000000000000004
R2,Mip-NeRF 360,counter,-0.08787727355957031,-0.000995337963104248,0.001142948865890503,4.668962030012103,3.738317757009346
R2,Mip-NeRF 360,kitchen,-0.17855072021484375,-0.0006748437881469727,0.0010583847761154175,3.492638247425328,2.877697841726623
R2,Mip-NeRF 360,bonsai,-0.13910484313964844,-0.0015284419059753418,0.00042822957038879395,3.9965002585916176,3.1963470319634757
R2,Tanks & Temples,truck,-0.10799217224121094,-0.0015947818756103516,0.0025482177734375,2.0501593000431417,2.500000000000002
R2,Tanks & Temples,train,0.08541107177734375,-0.0013936758041381836,0.0034142285585403442,3.401311950702024,3.875968992248058
R2,Deep Blending,drjohnson,-0.4939384460449219,-0.00536268949508667,0.0023507773876190186,4.442012360885183,4.411764705882348
R2,Deep Blending,playroom,-0.03769683837890625,-0.0018418431282043457,-0.00048148632049560547,2.5177012156196388,2.4793388429752095
R3,Mip-NeRF 360,bicycle,-0.008596420288085938,-6.80088996887207e-05,-0.0004843771457672119,4.970593546367241,6.477732793522262
R3,Mip-NeRF 360,flowers,0.026876449584960938,0.00041550397872924805,-0.0018948614597320557,3.8174530768454673,3.3755274261603407
R3,Mip-NeRF 360,garden,0.008209228515625,-0.00020557641983032227,-0.0003377646207809448,2.945608456377291,2.6666666666666616
R3,Mip-NeRF 360,stump,0.04073143005371094,0.0009704828262329102,-0.0006628930568695068,5.204793381810191,4.433497536945808
R3,Mip-NeRF 360,treehill,0.0089263916015625,0.0005233883857727051,0.0003180205821990967,4.631127985117911,4.225352112676061
R3,Mip-NeRF 360,room,-0.0063915252685546875,-0.0012960433959960938,0.001447722315788269,5.531771791878315,4.455445544554459
R3,Mip-NeRF 360,counter,-0.10286331176757812,-0.0014997124671936035,0.002243921160697937,5.001015757833138,4.147465437788023
R3,Mip-NeRF 360,kitchen,-0.09337043762207031,-0.0007052421569824219,0.0010761171579360962,5.9207794657866515,5.555555555555558
R3,Mip-NeRF 360,bonsai,-0.10214996337890625,-0.0010986328125,0.0012559294700622559,5.0667818668057585,4.504504504504503
R3,Tanks & Temples,truck,-0.06460380554199219,-0.0007458329200744629,0.002090752124786377,1.6003529640261638,0.8196721311475419
R3,Tanks & Temples,train,-0.16748619079589844,-0.0026854276657104492,0.003088235855102539,3.9510509667634364,4.511278195488721
R3,Deep Blending,drjohnson,-0.006671905517578125,-0.00045865774154663086,0.0015429258346557617,5.355858989970786,5.109489051094895
R3,Deep Blending,playroom,-0.22651100158691406,-0.0006060004234313965,-0.0003788769245147705,2.992743218800531,1.6393442622950838
