dataset,scene,repeats,psnr_delta_mean,psnr_delta_std,ssim_delta_mean,ssim_delta_std,lpips_delta_mean,lpips_delta_std,cuda_speedup_percent_mean,cuda_speedup_percent_std,wall_speedup_percent_mean,wall_speedup_percent_std
Deep Blending,drjohnson,3,-0.1457188924153646,0.30359848877133633,-0.0020487705866495767,0.00287071635100421,0.0020338197549184165,0.0004310990686657049,5.094977054805997,0.5692763675562879,5.106118402084203,0.6926745224885625
Deep Blending,playroom,3,-0.07643826802571614,0.13493958455710253,-0.00015052159627278647,0.001959181113138188,-0.0006570120652516683,0.0003962175176662193,2.489367508292417,0.5181239281847753,1.9193424558551258,0.48497109727349735
Mip-NeRF 360,bicycle,3,-0.03924687703450521,0.02701302635766522,-0.0008985598882039388,0.0008223429947439038,0.0008297761281331381,0.0011871368069438276,6.112029514532199,2.059952990604637,6.012960797420057,1.6464325693233728
Mip-NeRF 360,bonsai,3,-0.10792350769042969,0.028732954467045144,-0.0012225906054178874,0.00026645431184274857,0.0008988181749979655,0.0004253582088264235,4.565165044383797,0.5382817591786225,3.77358701291014,0.6674815174972167
Mip-NeRF 360,counter,3,-0.07335408528645833,0.038862391808913196,-0.0010794401168823242,0.0003851703660352457,0.0015753855307896931,0.000587232525872117,4.609274442130329,0.42474222863243266,3.8631622995003596,0.2468212693463069
Mip-NeRF 360,flowers,3,-0.0047766367594401045,0.028132991809472388,0.00032267967859903973,9.227302120269183e-05,-0.0015668869018554688,0.0003622940021314428,4.923173816005152,2.0295003309907322,4.062528054583,1.5463430600573531
Mip-NeRF 360,garden,3,0.009655634562174479,0.01854458905184485,-0.00033726294835408527,0.00035115204916249024,-2.33153502146403e-05,0.00029198103727127187,3.358987175965922,0.9365151069516798,2.788599484251656,0.8360592936980373
Mip-NeRF 360,kitchen,3,-0.1321131388346354,0.0431083347073623,-0.0006223122278849283,0.0001182936030882149,0.0009560137987136841,0.0001928723209367373,4.324665981741197,1.3826921995806476,3.874914252994769,1.4639100622671644
Mip-NeRF 360,room,3,-0.042462666829427086,0.041086804638535306,-0.0018806854883829753,0.000525540021928345,0.0017756571372350056,0.0004454367806836359,5.871773853721389,0.2965909020487002,4.810189974221306,0.3074693593284578
Mip-NeRF 360,stump,3,0.04145622253417969,0.0012553774011157483,0.0005957881609598795,0.0009966259866131294,-0.00023370981216430664,0.0008325824848513599,5.054140670039649,0.31200561336169724,4.290501838949427,0.2867296622550961
Mip-NeRF 360,treehill,3,0.03598340352376302,0.04266546602027309,-0.0001637736956278483,0.0006328057478559685,0.0007706582546234131,0.00041174045288803384,4.516983204412746,0.10691131092538093,3.7841371557411887,0.454440416081953
Tanks & Temples,train,3,-0.026774088541666668,0.12883942007938204,-0.00213541587193807,0.0006668774372139369,0.0032356431086858115,0.00016521764619954835,3.3437727428447452,0.637996794380614,3.57094286102854,1.1243212757394958
Tanks & Temples,truck,3,-0.07461802164713542,0.029663150468247215,-0.0010146101315816243,0.0005028951167386818,0.0019855499267578125,0.0006219778954174337,1.6850173400278206,0.3310320095260597,1.6575215643770032,0.8401734984263264
