run,method,dataset,scenes,psnr,ssim,lpips,fps,peak_device_mb,gaussians_m,cuda_time_s,wall_time_s
R1,fastgs_base,Mip-NeRF 360,9,27.530243555704754,0.7970504893196954,0.2614562859137853,576.1529695766352,9309.222222222223,0.40082222222222225,1941.2542531198656,2321.0
R1,fastgs_base,Tanks & Temples,2,24.018346786499023,0.837865948677063,0.21068882942199707,661.8473888251717,5390.0,0.24171199999999998,263.8009873749234,285.0
R1,fastgs_base,Deep Blending,2,29.918498992919922,0.9012084901332855,0.26996323466300964,744.5745905540925,7039.0,0.21894999999999998,273.62598266546416,297.0
R1,fastgs_base,All13,13,27.357375658475437,0.8193540985767658,0.25495466933800626,615.2477449960188,8357.0,0.34836338461538463,2478.681223160253,2903.0
R1,skipgs_base,Mip-NeRF 360,9,27.456295437282986,0.7960762315326266,0.26329081919458175,574.4537503705484,8967.444444444445,0.4015211111111111,1723.8904605463745,2104.0
R1,skipgs_base,Tanks & Temples,2,23.941692352294922,0.836687296628952,0.2130567580461502,668.5428935976934,5246.0,0.2419485,229.67359914681896,250.0
R1,skipgs_base,Deep Blending,2,30.004545211791992,0.9008466601371765,0.2723187208175659,751.5227919444815,7100.0,0.2171805,237.4190717487308,260.0
R1,skipgs_base,All13,13,27.307625697209286,0.8184426151789151,0.25695141003682065,616.1703941860989,8107.615384615385,0.3486113846153846,2190.9831314419243,2614.0
R1,full,Mip-NeRF 360,9,27.421838336520725,0.7953746053907607,0.2640646563635932,574.4146763872164,8925.0,0.4051412222222222,1651.3921556888438,2031.0
R1,full,Tanks & Temples,2,23.916939735412598,0.8351721167564392,0.21531783044338226,673.7755294034532,5379.0,0.2394235,224.9348066420605,245.0
R1,full,Deep Blending,2,30.05371856689453,0.9016823172569275,0.27286726236343384,747.760900277905,6997.0,0.2215915,228.3337777492602,250.0
R1,full,All13,13,27.287527817946213,0.8178523320418137,0.2579193917604593,616.3696112959742,8082.846153846154,0.3514077692307692,2104.6607400801645,2526.0
R1,wo_channel,Mip-NeRF 360,9,27.436731338500977,0.7956753240691291,0.2637675967481401,571.6120411533541,9086.888888888889,0.40078233333333335,1718.1672202741627,2101.0
