method,dataset,scene,psnr,ssim,lpips,train_time_s,fps,peak_device_mib,peak_allocated_mib,peak_reserved_mib,gaussians_m
raw_shortergs,m360,bicycle,25.1295891,0.7592649,0.223885,229.2924919128418,256.9253662180936,17339.0,13577.18701171875,16122.0,5.987072
shortergs_factorgrad,m360,bicycle,25.1436405,0.7596919,0.223696,231.426367521286,259.30689217587667,17057.0,13583.015625,17412.0,5.987072
raw_shortergs,m360,flowers,21.6644039,0.6064062,0.3285666,209.59557557106018,270.2064275740274,13093.0,10015.01806640625,12592.0,3.618304
shortergs_factorgrad,m360,flowers,21.7140408,0.6059928,0.3301013,208.71513628959656,275.56005898702415,12831.0,10013.943359375,13118.0,3.618304
raw_shortergs,m360,garden,27.1467342,0.8582603,0.1135155,291.80172204971313,174.1280408986448,18391.0,13343.505859375,17206.0,5.728128
shortergs_factorgrad,m360,garden,27.15065,0.8569205,0.1159515,293.42397952079773,173.00836822062686,17707.0,13337.8779296875,17324.0,5.728128
raw_shortergs,m360,stump,26.5815754,0.7653064,0.2411447,159.14519262313843,302.20683624360254,12905.0,10094.8251953125,12358.0,4.867328
shortergs_factorgrad,m360,stump,26.7008324,0.767616,0.2412441,159.3780074119568,294.544564859855,12891.0,10094.6611328125,12564.0,4.867328
raw_shortergs,m360,treehill,22.3981419,0.6196659,0.3453431,199.6121416091919,286.6450899172857,12597.0,9264.80908203125,11878.0,3.77024
shortergs_factorgrad,m360,treehill,22.5231628,0.6184074,0.348811,197.54462122917175,302.4177373245045,12865.0,9264.9912109375,12022.0,3.77024
raw_shortergs,m360,room,30.7387352,0.9150413,0.2240482,141.50961828231812,299.5802788287597,19225.0,15786.12890625,18124.0,1.548928
shortergs_factorgrad,m360,room,30.7803497,0.9135851,0.227018,137.74979090690613,307.1868436403906,18573.0,15780.25244140625,17704.0,1.548928
raw_shortergs,m360,counter,28.7669735,0.9015432,0.2078577,157.45769810676575,251.66557923939882,15521.0,12487.77099609375,14450.0,1.190912
shortergs_factorgrad,m360,counter,28.711565,0.8993598,0.2113315,155.37888860702515,255.8513752254333,15279.0,12488.2314453125,14530.0,1.190912
raw_shortergs,m360,kitchen,31.2278881,0.9248315,0.1282745,208.97130274772644,216.2200207633158,18433.0,14523.03271484375,18002.0,1.803648
shortergs_factorgrad,m360,kitchen,30.2790318,0.9018528,0.1479206,207.63638734817505,217.14535312863555,18723.0,14527.0986328125,18292.0,1.803648
raw_shortergs,m360,bonsai,31.6082935,0.9350702,0.2100807,138.06636691093445,307.0299147625906,17289.0,14642.740234375,16570.0,1.252352
shortergs_factorgrad,m360,bonsai,31.4428387,0.933965,0.2129208,137.14685153961182,308.4583616177093,17163.0,14640.66552734375,16444.0,1.252352
raw_shortergs,tnt,truck,25.2435398,0.876133,0.1438546,191.5250289440155,255.68047743070107,10289.0,7228.28125,9784.0,2.584064
shortergs_factorgrad,tnt,truck,25.2372456,0.8750733,0.1471419,190.31845378875732,251.67796148506196,10087.0,7223.482421875,10054.0,2.584064
raw_shortergs,tnt,train,21.6323071,0.8108793,0.2003494,193.91876101493835,278.95991927114625,8755.0,5705.68408203125,7590.0,1.08544
shortergs_factorgrad,tnt,train,21.7589207,0.8098713,0.2055747,192.40427780151367,284.98928072239715,8419.0,5698.22119140625,7488.0,1.08544
raw_shortergs,db,drjohnson,28.9311008,0.893212,0.2507848,136.18199062347412,282.0239784957968,16617.0,13099.755859375,15962.0,3.2736
shortergs_factorgrad,db,drjohnson,28.9317608,0.8948708,0.2525121,135.44854760169983,288.35735550557894,17643.0,13087.298828125,17562.0,3.2736
raw_shortergs,db,playroom,29.911272,0.9002484,0.2463089,117.98799204826355,345.4023985631496,12815.0,9733.65380859375,12648.0,2.326016
shortergs_factorgrad,db,playroom,29.9657516,0.9015092,0.2483538,117.6938054561615,358.7634961072403,12749.0,9740.02490234375,11782.0,2.326016
