dataset,scene,raw_psnr,factorgrad_psnr,delta_psnr,delta_ssim,delta_lpips,raw_time_s,factorgrad_time_s,speedup_pct,delta_fps,delta_peak_device_mib,delta_gaussians_m
m360,bicycle,25.1295891,25.1436405,0.014051399999999603,0.0004269999999999552,-0.00018899999999999473,229.2924919128418,231.426367521286,-0.9306347498091383,2.381525957783083,-282.0,0.0
m360,flowers,21.6644039,21.7140408,0.04963689999999943,-0.0004134000000000082,0.0015347,209.59557557106018,208.71513628959656,0.42006577622871794,5.353631412996776,-262.0,0.0
m360,garden,27.1467342,27.15065,0.003915799999997915,-0.001339800000000002,0.0024359999999999937,291.80172204971313,293.42397952079773,-0.5559451327734855,-1.1196726780179347,-684.0,0.0
m360,stump,26.5815754,26.7008324,0.11925700000000106,0.0023095999999999117,9.939999999999949e-05,159.14519262313843,159.3780074119568,-0.1462908084001464,-7.662271383747566,-14.0,0.0
m360,treehill,22.3981419,22.5231628,0.12502090000000265,-0.0012584999999999402,0.0034678999999999682,199.6121416091919,197.54462122917175,1.035768848203638,15.772647407218813,268.0,0.0
m360,room,30.7387352,30.7803497,0.04161449999999789,-0.0014561999999999076,0.0029697999999999947,141.50961828231812,137.74979090690613,2.6569412178831273,7.6065648116309035,-652.0,0.0
m360,counter,28.7669735,28.711565,-0.05540849999999864,-0.0021833999999999465,0.003473799999999999,157.45769810676575,155.37888860702515,1.3202336403591035,4.185795986034464,-242.0,0.0
m360,kitchen,31.2278881,30.2790318,-0.9488563000000028,-0.02297870000000002,0.0196461,208.97130274772644,207.63638734817505,0.6388032146035493,0.9253323653197469,290.0,0.0
m360,bonsai,31.6082935,31.4428387,-0.16545479999999912,-0.0011051999999999174,0.0028400999999999843,138.06636691093445,137.14685153961182,0.6659951962926671,1.4284468551186933,-126.0,0.0
tnt,truck,25.2435398,25.2372456,-0.00629419999999925,-0.0010596999999999968,0.003287299999999993,191.5250289440155,190.31845378875732,0.6299830167945681,-4.002515945639118,-202.0,0.0
tnt,train,21.6323071,21.7589207,0.12661360000000244,-0.0010080000000000089,0.005225299999999988,193.91876101493835,192.40427780151367,0.7809884951296774,6.029361451250907,-336.0,0.0
db,drjohnson,28.9311008,28.9317608,0.0006599999999998829,0.0016587999999999603,0.0017273000000000427,136.18199062347412,135.44854760169983,0.5385756357477316,6.333377009782112,1026.0,0.0
db,playroom,29.911272,29.9657516,0.054479600000000517,0.0012608000000000619,0.002044900000000016,117.98799204826355,117.6938054561615,0.24933604428297446,13.36109754409074,-66.0,0.0
